Asesor,Nombre de tesista,Año de publicación,Resumen,Institución,Titulo de la tesis,Grado
"Salinas Flores, Jesús Walter||Rosas Villena, Fernando René","Rado Huaringa, Joao Manuel",2014,"El objetivo de la investigación fue probar la hipótesis que la tasa de error de clasificación utilizando  el análisis discriminante con algoritmos genéticos es menor a la que se obtiene con el análisis discriminante lineal de Fisher. La aplicación se efectuó en la predicción del rendimiento en el examen de admisión de la Universidad Nacional Agraria La Molina de los postulantes cuya preparación se realizó en su Centro de Estudios Preuniversitarios. En la técnica de algoritmos genéticos  se empleó el método de selección, cruce y mutación que permitió realizar la búsqueda de funciones discriminantes con error mínimo. Los resultados del estudio indican que el análisis discriminante con algoritmos genéticos proporcionó una función discriminante más eficiente que la proporcionada por Fisher.",Universidad Nacional Agraria La Molina,Predicción del rendimiento en el exámen de admisión a la UNALM [Universidad Nacional Agraria La Molina] utilizando las técnicas de análisis discriminante lineal y análisis discriminante con algoritmos genéticos,Ingeniero Estadístico e Informático
"Porras Cerrón, Jaime Carlos","Rado Huaringa, Joao Manuel",2019,"En esta investigación se realizó la aplicación de los métodos de equiparación lineal y equipercentil a los puntajes obtenidos de los postulantes a los exámenes de admisión 2016-I y 2016-II de la Universidad Nacional Agraria La Molina. El desarrollo se realizó en las seis áreas que se evalúan en el examen de admisión: Razonamiento Verbal, Razonamiento Matemático, Matemática, Física, Química y Biología. El indicador utilizado para comparar ambos métodos fue el error estándar de equiparación. Entre los resultados más importantes se encontró que el método de equiparación lineal tuvo un mejor ajuste que el método equipercentil. Respecto a la dificultad de los exámenes de admisión, se obtuvo que el examen 2016-II presentó una mayor dificultad que el examen 2016-I. Finalmente, en relación a las seis áreas evaluadas en los exámenes, fue Matemática la que presentó una mayor dificultad en el examen de admisión 2016-II que en el 2016-I.",Universidad Nacional Agraria La Molina,Equiparaciòn de puntuaciones en el examen de admisión de la Universidad Nacional Agraria La Molina utilizando los métodos lineal y equipercentil,Magister Scientiae - Estadística Aplicada
"Rosas Villena, Fernando René","Vivanco Huaytara, Fredy",2018,"El objetivo general de la investigación es la identificación entre las técnicas del Análisis Discriminante Lineal de Fisher y Máquina de Soporte Vectorial la que presenta mejores indicadores de clasificación del rendimiento de los postulantes en la prueba de admisión 2015-II en la Universidad Nacional Agraria La Molina (UNALM). Ambas técnicas estadísticas se aplicaron en dos oportunidades, en la primera se evaluó el resultado en la prueba admisión de la UNALM de los postulantes que no se prepararon en el CEP-UNALM y que ingresaron o no a la universidad (aplicación 1) y en la segunda se evaluó resultado en la prueba admisión de la UNALM de los postulantes que si se prepararon en el CEP-UNALM y que ingresaron o no a la universidad (aplicación 2). Los resultados muestran que la técnica Máquina de Soporte Vectorial presenta mejores indicadores de clasificación que el Análisis Discriminante Lineal de Fisher.",Universidad Nacional Agraria La Molina,Clasificación de resultados en la prueba de admisión de la UNALM utilizando análisis discriminante lineal de Fisher y Máquina de Soporte Vectorial,Ingeniero Estadístico e Informático
"Rosas Villena, Fernando René","Salazar Vega, Rolando Jesús",2019,"El propósito principal de la investigación fue comprobar si el rendimiento académico de los estudiantes en el curso de Estadística General de la Universidad Nacional Agraria La Molina (UNALM) es explicado a través de un modelo propuesto de Ecuación Estructural de tres factores. El primero denominado “desempeño docente”, medido por las variables: planificación del curso, dominio del curso, métodos y recursos de instrucción, obligaciones docentes, método evaluativo, y motivación e interacción con los alumnos; el segundo llamado “autoconcepto”, medido por las variables: académico/laboral, social, emocional, familiar y físico y finalmente el tercero “rendimiento pasado”, medido a través del promedio ponderado acumulado. Los datos utilizados corresponden a las notas de los alumnos matriculados en el ciclo académico 2014-I en el curso de Estadística General, al promedio ponderado acumulado; y los valores se registraron en la escala de Likert de 1 al 10 de las encuestas de desempeño docente y autoconcepto. Estos dos instrumentos, cumplen con los requisitos de confiabilidad y validez al registrar en ambos casos indicadores por encima de los mínimos aceptables. El modelo de ecuación estructural propuesto fue reespecificado (mejorado) mediante la inclusión de una nueva relación de interdependencia, el rendimiento pasado como predictor del autoconcepto. Se verificó el ajuste del modelo de ecuación estructural reespecificado a través de los principales indicadores de ajuste absoluto e incremental. Entre los resultados más importantes de la investigación se verificó que el factor rendimiento pasado es el mejor predictor del factor rendimiento académico de los estudiantes en el curso de Estadística General y que los factores desempeño docente y rendimiento pasado explican al factor autoconcepto.",Universidad Nacional Agraria La Molina,Modelo de ecuación estructural explicativo del rendimiento académico de los estudiantes del curso de estadística general en la UNALM,Magister Scientiae - Estadística Aplicada
"Porras Cerrón, Jaime Carlos","Sucari Sucari, Ruben Elvis",2018,"En la presente tesis se desarrolló el método de clasificación llamado Análisis Discriminante No Métrico, y se comparó su desempeño con el Árbol de Clasificación CHAID y la Regresión Logística Multinomial, los cuales también son métodos que no necesitan la condición de normalidad multivariada, linealidad ni varianza homogénea para las variables independientes. Esta comparación de desempeño fue evaluado mediante la Validación Cruzada. Para la realización del estudio comparativo de estos clasificadores se utilizó conjuntos de datos que son proporcionados por la Universidad de California Irving (UCI). Se concluye que la Regresión Logística Multinomial tiene mejor desempeño en la clasificación de datos teniendo en cuenta la tasa de clasificación promedio y el tiempo de procesamiento",Universidad Nacional Agraria La Molina,"Comparación del análisis discriminante no métrico, árboles de clasificación Chaid y la regresión logística multinormal",Magister Scientiae - Estadística Aplicada
,"Porras Huamán, Beatriz Eta",2014,"El turismo en el Perú ha venido creciendo rápidamente en los últimos años MINCETUR - Plan Estratégico Nacional de Turismo 2012 - 2021 – PENTUR, pág. 11). En el proceso de la investigación turística se recopila los datos, para ser analizados y efectuar una crítica, con fines de alcanzar elementos de trabajo hacia otras fases de desarrollo turístico, las mismas que permitirán obtener nuevos conocimientos que como aporte se utilizarán en la actividad turismo.En este sentido el presente trabajo busca caracterizar o establecer cuáles son los perfiles de los turistas internos en el Perú de los niveles socioeconómicos medio y alto con la finalidad de diversificar la estrategia turística y de este modo poder administrar en forma sostenida recursos del sector público como el privado. Esta investigación utiliza una muestra de 2,400 turistas de los principales destinos turísticos del Perú. El objetivo planteado para el desarrollo del presente trabajo es la determinación de los grupos de individuos observando sus características socio-demográficas, los hábitos de vida y las preferencias con respecto a viajes al interior del país. La metodología empleada corresponde a la técnica de agrupamiento Análisis de Conglomerados Bietápico. La pregunta de investigación planteada para el desarrollo del proyecto se orienta a determinar los diversos tipos de perfiles de turistas nacionales en los niveles socioeconómicos A, B y C. Finalmente se determinó la homogeneidad de los grupos en función a la variabilidad intra-grupos, encontrándose dos grupos, descritos estos en función a los estadísticos encontrados dentro de cada grupo.",Universidad Nacional Agraria La Molina,Determinación de perfiles de turistas nacionales de los niveles socioeconómicos medio y alto mediante el análisis conglomerado bietápico,Ingeniero Estadístico e Informático
,"Ramírez Soplin, Magally Loidit",2014,"El presente estudio de investigación se centró en identificar los perfiles más adecuados, en una muestra de 8, 504 clientes que realizaron transacciones crediticias en el primer trimestre del año. Se agruparon los casos mediante las técnicas de segmentación: K-means, Bietápico y Kohonen, utilizando variables cuantitativas y categóricas. De las tres técnicas, la que obtuvo mayor medida de silueta de cohesión y separación, fue K-means, indicando una estructura “buena” en cuanto a la cohesión al interior de los grupos y la separación de los mismos. Por otro lado, también se analizó las proporciones de los conglomerados, siendo la técnica K-means la que presentó las proporciones más adecuadas en función a las variables de historial crediticio y transacciones realizadas. Posterior a la obtención de los conglomerados, se procedió al proceso de obtención de la reglas de clasificación, mediante la técnica de regresión logística multinomial, la cual nos permitirá realizar predicciones futuras. El procedimiento se aplicó a la muestra particionada, es decir, una parte de entrenamiento y otra de comprobación. Finalmente, se obtuvo una adecuada tasa de eficiencia en ambas muestras. Además, los análisis permitieron identificar a dos conglomerados que muestran una alerta para la empresa, es decir necesitan ser gestionados de forma oportuna, ya que constituyen un futuro comportamiento de no pago de acuerdo a la caracterización obtenida de dichos conglomerados.",Universidad Nacional Agraria La Molina,Identificación de perfiles de clientes crediticios aplicando técnicas de segmentación y regresión logística multinomial,Ingeniero Estadístico e Informático
"Espinoza Villanueva, Luis Enrique","Linares Torres, Miguel Angel",2018,"Se realizó una investigación cuantitativa, con el fin de identificar los factores más influyentes al momento de evaluar el servicio que ofrece el centro educativo, el instrumento de medición es la encuesta vía telefónica y se  entrevistó a los  padres de familia que matricularon a sus hijos en el año 2016. La recolección de información se realizó por medio de un cuestionario,  seguidamente se analizó en una base de datos y con procedimientos estadísticos se ejecutó pruebas para determinar  qué factores  son los más influyentes al momento de evaluar la calidad del servicio. Asimismo, se analizó el entorno como la infraestructura, calidad de servicio, equipamiento tecnológico y calidad educativa.  Finalmente con los resultados de las pruebas se procedió a elaborar estrategias de mercado para un óptimo posicionamiento",Universidad Nacional Agraria La Molina,Estrategias de mercado en un centro educativo privado en la localidad de Arequipa,Ingeniero Estadístico e Informático
,"Vicente Vasquez, Juana Mercedes",2014,"El estudio tiene como objetivo clasificar a las familias encuestadas en los distritos de San Pablo, San Luis y San Bernardino de la provincia de San Pablo en el departamento de Cajamarca según un conjunto de variables socio-económicas. Estos datos corresponden a una investigación realizada por un grupo de personas que laboran en la Universidad del Pacifico, la encuesta fue realizada en Diciembre del 2006. Se desea clasificar a las familias para poder brindar un mejor control en el estudio longitudinal de los proyectos a ser evaluados. Para esto, al culminar la encuesta se planteó una clasificación preliminarmente la existencia de 4 grupos de familias. Para verificar esta clasificación se utilizó el “Análisis de Clúster”, que es un método multivariado de clasificación. Para el procesamiento de los datos se utilizó el programa “Minitab versión 17” y “Microsoft Excel”",Universidad Nacional Agraria La Molina,Clasificación de familias en Cajamarca según su situación económica mediante el análisis de conglomerados,Ingeniero Estadístico e Informático
,"Huamaní Miranda, María Alejandra",2014,"La realidad competitiva que en estos días enfrentan las entidades bancarias ha provocado que éstas no sólo concentren sus esfuerzos de marketing exclusivamente en estrategias de captación de clientes, sino también en estrategias de retención y ﬁdelización; la fuga de clientes es una situación que afecta la rentabilidad de la gran mayoría de las instituciones bancarias dado que se invierte mucho más en la captación de clientes que en campañas para la retención, por ello, es un tema de intensivo estudio cientíﬁco en los últimos años. Las entidades bancarias requieren contar con herramientas que les permitan estimar probabilidades de fuga para su cartera de clientes y así decidir sobre que clientes concentrar sus esfuerzos de retención. En el presente trabajo se utilizó la regresión logística de respuesta binaria  y el algoritmo de árbol de clasificación CART para predecir y clasificar a los clientes con riesgo de fuga y así identificar el mejor modelo explicativo de retención de clientes con riesgo de fuga para una entidad bancaria. El modelo que mejor explica el riesgo de fuga de un cliente fue la Regresión Logística binaria que obtuvo como variables predictoras número de transacciones, ingreso bruto, número de tarjetas usadas y línea de crédito. Las variables identificadas permitirán a la entidad bancaria reorientar las estrategias en las campañas de retención de clientes.",Universidad Nacional Agraria La Molina,Identificación de un modelo explicativo de retención de clientes con riesgo de fuga para una entidad bancaria aplicando regresión logística y árboles de clasificación CART,Ingeniero Estadístico e Informático
