Asesor,Nombre de tesista,Año de publicación,Resumen,Institución,Titulo de la tesis,Grado
"Vega Huerta, Hugo Froilán","Salas Arbaiza, Cesar Enrique",2023,"Valida un modelo de aceptación tecnológica, que fomente el incremento de los indicadores financieros de las empresas del SEMA. La investigación, se centra en la etapa de lanzamiento o puesta en producción del ciclo de vida de desarrollo de software, siendo necesario gestionar un proceso de adopción de tecnología para una adecuada transición a la nueva tecnología. La herramienta tecnológica usada en el proceso de adopción es la Ventanilla Única de Comercio Exterior (VUCE) y se aplicó al Sector Exportador de Mercancías Agrícolas del Perú (SEMA) la aceptación será más conveniente si evidencia incremento de las ventas y operaciones comerciales en el sector. Para esta investigación, se relevó los factores importantes y necesarios para una conveniente adopción tecnológica, se revisó el estado del arte de los Modelo de Aceptación Tecnológica (TAM) del 2001 al 2019,
encontrando 10 modelos y 36 factores. Se plantea adaptar el modelo TAM, a un modelo que permitan al sector en estudio adoptar tecnología que agilice la burocracia y tramitología que obstaculiza el desarrollo del sector en estudio, éste modelo se le llama TAM4. Como primer estudio se aplica una encuesta a 68 de las 4560 empresas del sector, con un nivel de confianza y un error del 90% y ± 10% respectivamente, obteniendo que el 68% de estas estaría dispuesto a usar un modelo que posea los factores de: confianza y riesgo percibido. Como segundo estudio de investigación se diseña casos de estudio en cinco empresas agro exportadoras para validar el modelo TAM4, analizando el comportamiento a los largo de siete años de sus operaciones
comerciales, se determinó que el modelo TAM4 incrementa en 11% de las ventas de las empresas participantes en el periodo de estudio.",Universidad Nacional Mayor de San Marcos,Contribuciones al modelo de aceptación tecnológica aplicado al sector exportador de mercancías agrícolas,Doctor en Ingeniería de Sistemas e Informática
"La Serna Palomino, Nora Bertha","Lozada Yánez, Raúl Marcelo",2023,"Desarrolla el modelo de Realidad Aumentada denominado “Model for Augmented Reality
Applications with Gestural Interface for Children (MARAGIC)”. El modelo considera las
características cognitivas de niños en edad escolar, su validación y aplicación en el
diseño y desarrollo de dos Recursos Educativos Digitales (RED) que se emplean como
herramientas de apoyo en dos casos de estudio donde participan estudiantes que asisten
al 3° grado de Educación General Básica (EGB) en la ciudad de Riobamba de Ecuador. El trabajo pretende ser un aporte que oriente el adecuado diseño y desarrollo de este
tipo de herramientas tecnológicas educativas. Como método de estudio, se utiliza un
enfoque de investigación cualitativa en el que la recolección de datos se realiza
mediante la aplicación de una encuesta con elementos de referencia a la percepción
tanto a los niños participantes del estudio como a un grupo de docentes de nivel medio
y superior frente a la utilización de los recursos basados en MARAGIC. Se realiza
además un análisis cuantitativo que permite comparar el rendimiento académico de los
estudiantes antes y después de usar dichos recursos para los dos casos de estudio
ejecutados. Los resultados señalan que los docentes encuestados perciben al modelo
desarrollado como una oportunidad para mejorar los procesos de aprendizaje y que, la
utilización de los recursos educativos desarrollados siguiendo las orientaciones del
modelo MARAGIC mejora significativamente el rendimiento académico de los
estudiantes participantes del estudio en sus clases de matemática. La aplicación de este
tipo de recurso facilita los procesos de aprendizaje de los niños, mismos que se
muestran motivados y participan activamente en las actividades propuestas en los
recursos educativos diseñados a partir del modelo.",Universidad Nacional Mayor de San Marcos,Modelo de realidad aumentada que considere características cognitivas para aprendizaje de niños en edad escolar,Doctor en Ingeniería de Sistemas e Informática
"León Fernández, Cayo Víctor","Valencia Vivas, Gloria Maritza",2023,"Establece de qué manera las herramientas Web 2.0 influyen en las competencias genéricas Tuning en estudiantes de universidades públicas de Ecuador. En su desarrollo participaron 88 estudiantes universitarios de las carreras de Licenciatura en Ciencias Navales y Licenciatura en Ciencias Aeronáuticas de la Universidad de las Fuerzas Armadas del Ecuador, sus edades oscilaron entre de 20 a 21 años y con acceso a internet. El análisis de los datos revela que las
herramientas web 2.0 más utilizada por los estudiantes fue el Blog, seguido
por YouTube, representando el 68,2% del total de la muestra. Sin embargo,
determina que la Wiki y el Foro son las herramientas que tuvieron mayor
influencia en las competencias genéricas Tuning, mientras que el Blog, las
Redes Sociales y YouTube presentaron una menor influencia. Por lo cual, se concluye que el uso de herramientas web 2.0 tienen influencia positiva en las
competencias genéricas Tuning en estudiantes universitarios. Asimismo, se debe
incorporar estas herramientas en el proceso de enseñanza aprendizaje con el
uso adecuado y direccionado, en función de los objetivos y necesidades
específicas de cada contexto educativo.",Universidad Nacional Mayor de San Marcos,"Herramientas Web. 2.0 y su influencia en las competencias genéricas Tuning en estudiantes de universidades públicas de Ecuador, 2020: Caso UFA ESPE",Doctora en Ingeniería de Sistemas e Informática
"La Serna Palomino, Nora Bertha","Luna Encalada, Washington Gilberto",2023,"Desarrolla un ecosistema de nube social para enseñanza práctica de TI, mediante un modelo de implementación, que cumplan con los cuatro pilares educativos, basados en tres modelos de servicios de la computación en la nube, conocidos como Software como Servicio (SaaS), Plataforma como servicio (PaaS) e Infraestructura como Servicio (IaaS).",Universidad Nacional Mayor de San Marcos,Nube social para enseñanza práctica de tecnología de  información,Doctor en Ingeniería de  Sistemas e Informática
"Mauricio Sánchez, David Santos","Arcos Medina, Gloria de Lourdes",2023,"El propósito de esta investigación es contribuir en el aseguramiento de la calidad del software a través de la determinación de nuevos factores críticos de éxito y prácticas ágiles que influyen en las características de calidad de software. A a pesar de que existen estándares y modelos de calidad para asegurar la calidad en proyectos de desarrollo ágil, su complejidad en su aplicación es contraria a los principios propuestos por el agilismo, lo que impide tener un software con un adecuado nivel de calidad. Para cumplir con el objetivo propuesto se ha aplicado un diseño de investigación cualitativa, los resultados se obtuvieron mediante el análisis de residuos estandarizados a 146 cuestionarios dirigidos a personas involucradas en el proceso de
desarrollo de software. Esta investigación contiene una revisión sistemática de la literatura que permitió catalogar 148 factores críticos de éxito, 137 prácticas ágiles, 165 métricas y 71 atributos de calidad relacionados con el desarrollo ágil de software. Además, se presenta un modelo compuesto por cuatro componentes: 1) seis factores críticos de éxito obtenidas de las teorías del comportamiento humano y administrativo, 2) cuatro categorías de prácticas ágiles, 3) ocho características de calidad basadas en el estándar ISO/IEC 25010 , y 4) hipótesis que determinan la influencia entre los componentes del modelo propuesto. Las contribuciones realizadas como resultado de este estudio permitirán asegurar la calidad en el proceso de desarrollo de software ágil y tomar acciones para mitigar la influencia negativa de algunos
factores críticos y contribuir a la implementación de proyectos exitosos.",Universidad Nacional Mayor de San Marcos,Contribuciones para el aseguramiento de la calidad en el proceso de desarrollo de software ágil,Doctor en Ingeniería de Sistemas e Informática
"Papa Quiroz, Erik Alex","Cano Lengua, Miguel Angel",2023,"Desarrolla un algoritmo multiplicador proximal para resolver problemas de optimización convexa separable sobre conos simétricos y aplicarlo a problemas de clasificación binaria para máquinas de vectores de soporte. Este algoritmo tiene como fundamento teórico los espacios vectoriales de dimensión finita, además de un producto interior, un Álgebra de Jordan Euclidiana, distancias proximales, cono simétrico de segundo orden, entre otros conceptos teóricos. El algoritmo para clasificación de datos binario se desarrolló probando la buena definición, el análisis de la convergencia, el análisis de la complejidad de este. Este algoritmo surge como una nueva técnica el cual puede ser utilizado para la clasificación de datos, se probó su convergencia global bajo determinados supuestos, se realizó la implementó del algoritmo en el software Matlab versión 2017 (R2017a), en una computadora 8 th Gen Intel (R) Core (TM) i5-8250U CPU, 1.60 GHz 1.80 GHz, 4.00 GB, Windows 1064 bits. Posteriormente se realizó el diseño utilizando el marco metodológico Scrum. Para ello se desarrolló 3 sprint de acuerdo con los requerimientos de las historias de usuarios.
Se realizó un análisis comparativo con otros algoritmos proximales, así como también experimentos computacionales con el uso del algoritmo implementado.",Universidad Nacional Mayor de San Marcos,Un algoritmo multiplicador proximal para clasificación binaria en máquinas de vectores soporte,Doctor en Ingeniería de Sistemas e Informática
"Mauricio Sánchez, David Santos","Bravo Mullo, Silvia Jeaneth",2019,"Se analizaron seis aspectos sobre la detección de ataques DDoS: técnicas, variables, herramientas, ubicación de implementación, punto en el tiempo y precisión de detección. Este análisis permitió realizar una contribución útil al diseño de una estrategia adecuada para neutralizar estos ataques. En los últimos años, estos ataques se han dirigido hacia la capa de aplicación. Este fenómeno se debe principalmente a la gran cantidad de herramientas para la generación de este tipo de ataque. Por ello, además, en este trabajo se propone una alternativa de detección basada en el dinamismo del usuario web. Para esto, se evaluaron las
características del dinamismo del usuario extraídas de las funciones del mouse y del teclado. Finalmente, el presente trabajo propone un enfoque de detección de bajo costo que consta de dos pasos: primero, las características del usuario se extraen en tiempo real mientras se navega por la aplicación web; en segundo lugar, cada característica extraída es utilizada por un algoritmo de orden (O1) para diferenciar a un usuario real de un ataque DDoS. Los resultados de las pruebas con las herramientas de ataque LOIC, OWASP y GoldenEye muestran que el método propuesto tiene una eficacia de detección del 100% y que las características del dinamismo del usuario de la web permiten diferenciar entre un usuario real y un robot.",Universidad Nacional Mayor de San Marcos,Contribuciones para la Detección de Ataques Distribuidos de Denegación de Servicio (DDoS) en la Capa de Aplicación,Doctor en Ingeniería de Sistemas e Informática
"Mauricio Sánchez, David Santos","Oñate Andino, Mayra Alejandra",2022,"Determina la influencia de los 13 factores críticos de éxito propuestos en el principio de responsabilidad establecido en la norma ISO 38500. Una revisión exhaustiva de la literatura muestra que, en el contexto universitario no se han realizado estudios con estos propósitos. Este estudio empírico se realizó sobre el 76% de universidades ecuatorianas y muestra que los 13 factores analizados, 8 tomados de contextos
distintos al universitario y 5 extraídos desde las teorías del ámbito administrativo y comportamiento humano, tienen una influencia positiva en el éxito del Gobierno de las Tecnologías de la Información y el cumplimiento del principio de responsabilidad.",Universidad Nacional Mayor de San Marcos,Contribuciones al gobierno de las tecnologías de la información en el contexto universitario,Doctor en Ingeniería de Sistemas e Informática
"La Serna Palomino, Nora Bertha","Ayovi Ramirez, Marco Wellington",2022,"Pocas veces el éxito de una empresa surge de las casualidades. Por lo contario, se está más cerca del éxito y del bienestar cuando los resultados se producen por causalidades, lo que implica que se debe trabajar de manera planificada para encontrar los resultados deseados. Es también necesario manifestar que muchas
veces trabajando como debe ser, no se consiguen los resultados, debido a que hay una alta competitividad en las empresas, y por el hecho de que la gestión y planificación dentro de la empresa sean buenas, la competencia puede trabajar mucho mejor.
Las Pequeñas y Medianas Empresas (PYMES) representan más del 95% de las empresas en el mundo, radicando allí su importancia, ya que su aporte a la economía y a la empleabilidad mundial es significativo. Uno de esos segmentos de empresas que ocupan ese porcentaje, son las PYMES de Tecnologías de la Información y Comunicación (TIC), que por sus propias actividades y características son representativas en niveles de importancia para el crecimiento y desarrollo de la sociedad universal. Las PYMES de TIC probablemente tienen los mismos problemas que las PYMES de otros sectores, con dificultades organizativas y estructurales, necesarias para una adecuada gestión que propenda hacia el progreso, la competitividad, productividad y cada vez mayor rentabilidad. En los últimos años en diversos eventos y en publicaciones internacionales se ha tratado a profundidad los temas de Gestión de la calidad (GC), Gestión de la innovación (GI) y Gestión estratégica (GE), como pilares fundamentales para alcanzar la productividad (PR) de las organizaciones, y a partir de la PR obtener cada vez mayor Rentabilidad (RE).
Enfocado en que la GC, GI y GE integrada a las actividades de las PYMES de TIC pueden derivar en la Productividad de estas empresas, presentamos en esta investigación un Modelo Conceptual Corporativo, basado en GC, GI y GE para la Productividad de las PYMES de TIC. Estudio que se realizará en la geografía de la República del Ecuador.",Universidad Nacional Mayor de San Marcos,"Modelo corporativo basado en gestión de la calidad, gestión de la innovación y gestión estratégica, para pequeñas y medianas empresas del sector de las tecnologías de la información y comunicación",Doctor en Ingeniería de Sistemas e Informática
"Pró Concepción, Luzmila Elisa","Garcia Quilachamin, Washington Xavier",2021,"La revolución tecnológica del siglo XXI ha contribuido a la aplicación de algoritmos en
cámaras para la detección y reconocimiento de personas a partir de imágenes o videos
considerados aún complejos para una computadora. Por lo que las tecnologías asociadas a
la eficiencia energética y su uso en sistemas eléctricos surgen como problemas en la
aplicación de dispositivos inteligentes en: viviendas, edificios, empresas e instituciones
públicas y privadas. El objetivo de esta tesis es determinar de qué manera un algoritmo en
detección positiva de la imagen de una persona en tiempo real influye en la eficiencia
energética generada en un sistema de iluminación en una Smart Grid Home. Se realizó
una revisión sistemática de los algoritmos en detección de patrones, considerando los
criterios de Kitchenham y un estudio de campo, aplicado en instituciones públicas de la
provincia de Manabí - Ecuador, la cual fue validada mediante el análisis factorial de
confiabilidad relacionado con la prueba KMO, la esfericidad de Bartlett y el coeficiente
alfa de Cronbach. Se aplicaron técnicas en la detección de patrones y los resultados
obtenidos nos permiten considerar el modelo Support Vector Machines con un 92% de
reconocimiento y el algoritmo Viola-Jones con detección efectiva del 97,53%. De manera
experimental en relación con el algoritmo aplicado en un control de encendido y apagado
de un dispositivo de iluminación, los resultados determinaron que el 99.5% en la
detección de imágenes es positiva. Se concluye que la eficiencia y efectividad del
algoritmo aplicado en un control de encendido y apagado de un dispositivo de
iluminación mejora el consumo de energía eléctrica, siendo un aporte a la gestión
energética, seguridad y vigilancia de las personas y bienes materiales.",Universidad Nacional Mayor de San Marcos,Algoritmo en detección positiva de la imagen de una persona para la mejora en eficiencia energética en una Smart Grid Home,Doctor en Ingeniería de Sistemas e Informática
